1	823	https://cognitivestudy.blob.core.windows.net/keyframes/823_gf3yQ_5HVnM_778.jpg
2	823	https://cognitivestudy.blob.core.windows.net/keyframes/823_gf3yQ_5HVnM_789.jpg
3	823	https://cognitivestudy.blob.core.windows.net/keyframes/823_gf3yQ_5HVnM_100.jpg
4	823	https://cognitivestudy.blob.core.windows.net/keyframes/823_gf3yQ_5HVnM_111.jpg
5	109	https://cognitivestudy.blob.core.windows.net/keyframes/109_mastercard_MasterCard Cashless_816.jpg
6	109	https://cognitivestudy.blob.core.windows.net/keyframes/109_mastercard_MasterCard Cashless_827.jpg
7	109	https://cognitivestudy.blob.core.windows.net/keyframes/109_mastercard_MasterCard Cashless_838.jpg
8	109	https://cognitivestudy.blob.core.windows.net/keyframes/109_mastercard_MasterCard Cashless_251.jpg
9	1480	https://cognitivestudy.blob.core.windows.net/keyframes/1480_FWduxAK2_XQ_1638.jpg
10	1480	https://cognitivestudy.blob.core.windows.net/keyframes/1480_FWduxAK2_XQ_1649.jpg
11	1480	https://cognitivestudy.blob.core.windows.net/keyframes/1480_FWduxAK2_XQ_1330.jpg
12	1480	https://cognitivestudy.blob.core.windows.net/keyframes/1480_FWduxAK2_XQ_1341.jpg
13	41	https://cognitivestudy.blob.core.windows.net/keyframes/41_l'oreal paris_L’Oréal Paris EverPure Sulfate Free Hair Care_ Care for Color Treated Hair_306.jpg
14	41	https://cognitivestudy.blob.core.windows.net/keyframes/41_l'oreal paris_L’Oréal Paris EverPure Sulfate Free Hair Care_ Care for Color Treated Hair_317.jpg
15	41	https://cognitivestudy.blob.core.windows.net/keyframes/41_l'oreal paris_L’Oréal Paris EverPure Sulfate Free Hair Care_ Care for Color Treated Hair_328.jpg
16	41	https://cognitivestudy.blob.core.windows.net/keyframes/41_l'oreal paris_L’Oréal Paris EverPure Sulfate Free Hair Care_ Care for Color Treated Hair_339.jpg
17	54	https://cognitivestudy.blob.core.windows.net/keyframes/54_skechers_Skechers GO WALK Pants commercial_253.jpg
18	54	https://cognitivestudy.blob.core.windows.net/keyframes/54_skechers_Skechers GO WALK Pants commercial_264.jpg
19	54	https://cognitivestudy.blob.core.windows.net/keyframes/54_skechers_Skechers GO WALK Pants commercial_275.jpg
20	54	https://cognitivestudy.blob.core.windows.net/keyframes/54_skechers_Skechers GO WALK Pants commercial_286.jpg
21	135	https://cognitivestudy.blob.core.windows.net/keyframes/135_autozone_Duralast Brake Pads _15_266.jpg
22	135	https://cognitivestudy.blob.core.windows.net/keyframes/135_autozone_Duralast Brake Pads _15_277.jpg
23	135	https://cognitivestudy.blob.core.windows.net/keyframes/135_autozone_Duralast Brake Pads _15_288.jpg
24	135	https://cognitivestudy.blob.core.windows.net/keyframes/135_autozone_Duralast Brake Pads _15_299.jpg
25	2204	https://cognitivestudy.blob.core.windows.net/keyframes/2204_X2t4Y0hwnoU_185.jpg
26	2204	https://cognitivestudy.blob.core.windows.net/keyframes/2204_X2t4Y0hwnoU_196.jpg
27	2204	https://cognitivestudy.blob.core.windows.net/keyframes/2204_X2t4Y0hwnoU_207.jpg
28	2204	https://cognitivestudy.blob.core.windows.net/keyframes/2204_X2t4Y0hwnoU_641.jpg
29	2541	https://cognitivestudy.blob.core.windows.net/keyframes/2541_yvehZZczl0U_700.jpg
30	2541	https://cognitivestudy.blob.core.windows.net/keyframes/2541_yvehZZczl0U_711.jpg
31	2541	https://cognitivestudy.blob.core.windows.net/keyframes/2541_yvehZZczl0U_575.jpg
32	2541	https://cognitivestudy.blob.core.windows.net/keyframes/2541_yvehZZczl0U_542.jpg
33	296	https://cognitivestudy.blob.core.windows.net/keyframes/296_fitbit (can get more but could get repititive)_New Fitbit Alta HR - Tightrope_314.jpg
34	296	https://cognitivestudy.blob.core.windows.net/keyframes/296_fitbit (can get more but could get repititive)_New Fitbit Alta HR - Tightrope_325.jpg
35	296	https://cognitivestudy.blob.core.windows.net/keyframes/296_fitbit (can get more but could get repititive)_New Fitbit Alta HR - Tightrope_336.jpg
36	296	https://cognitivestudy.blob.core.windows.net/keyframes/296_fitbit (can get more but could get repititive)_New Fitbit Alta HR - Tightrope_347.jpg
37	2332	https://cognitivestudy.blob.core.windows.net/keyframes/2332_NT_QShNRG6s_1022.jpg
38	2332	https://cognitivestudy.blob.core.windows.net/keyframes/2332_NT_QShNRG6s_1000.jpg
39	2332	https://cognitivestudy.blob.core.windows.net/keyframes/2332_NT_QShNRG6s_1011.jpg
40	2332	https://cognitivestudy.blob.core.windows.net/keyframes/2332_NT_QShNRG6s_1429.jpg
41	2453	https://cognitivestudy.blob.core.windows.net/keyframes/2453_tdXhOO-mQNA_971.jpg
42	2453	https://cognitivestudy.blob.core.windows.net/keyframes/2453_tdXhOO-mQNA_982.jpg
43	2453	https://cognitivestudy.blob.core.windows.net/keyframes/2453_tdXhOO-mQNA_376.jpg
44	2453	https://cognitivestudy.blob.core.windows.net/keyframes/2453_tdXhOO-mQNA_398.jpg
